molecule,dalpha,dbeta
dsgdb9nsd_009571,0.9,1.6
dsgdb9nsd_009571,0.9,1.8
dsgdb9nsd_009571,1.2,1.3
dsgdb9nsd_009571,0.9,2.0
dsgdb9nsd_009571,0.9,1.6
dsgdb9nsd_009571,0.9,1.6
dsgdb9nsd_009571,1.3,0.2
dsgdb9nsd_009571,1.3,1.6
dsgdb9nsd_009571,0.9,1.8
dsgdb9nsd_009571,0.9,0.5
dsgdb9nsd_009571,1.0,0.1
dsgdb9nsd_009571,0.9,2.0
dsgdb9nsd_009571,0.7,1.6
dsgdb9nsd_009571,1.2,0.9
dsgdb9nsd_009571,0.9,1.6
dsgdb9nsd_009571,1.1,0.6
dsgdb9nsd_009571,0.9,1.6
dsgdb9nsd_072161,0.2,0.0
dsgdb9nsd_072161,0.2,0.0
dsgdb9nsd_072161,0.2,0.0
dsgdb9nsd_072161,0.2,1.4
dsgdb9nsd_072161,0.2,0.0
dsgdb9nsd_002195,0.0,1.7
dsgdb9nsd_002195,0.0,1.7
dsgdb9nsd_002195,0.0,1.7
dsgdb9nsd_002195,0.0,1.5
dsgdb9nsd_002195,0.0,1.7
dsgdb9nsd_002195,0.0,1.7
dsgdb9nsd_002195,0.0,1.7
dsgdb9nsd_002195,0.0,1.7
dsgdb9nsd_002195,0.0,1.6
dsgdb9nsd_012155,0.1,1.3
dsgdb9nsd_012155,0.1,1.3
dsgdb9nsd_012155,0.1,1.4
dsgdb9nsd_012155,0.1,1.3
dsgdb9nsd_012155,0.1,1.4
dsgdb9nsd_003124,0.0,1.8
dsgdb9nsd_003124,0.0,1.8
dsgdb9nsd_003124,0.0,2.0
dsgdb9nsd_003124,0.0,1.9
dsgdb9nsd_003124,0.0,1.8
dsgdb9nsd_003124,0.0,1.9
dsgdb9nsd_003124,0.0,1.8
dsgdb9nsd_003124,0.0,1.3
dsgdb9nsd_003124,0.0,1.9
dsgdb9nsd_003124,0.0,1.8
dsgdb9nsd_125406,0.0,2.0
dsgdb9nsd_125406,0.0,2.0
dsgdb9nsd_125406,0.0,2.0
dsgdb9nsd_125406,0.0,2.0
dsgdb9nsd_125406,0.0,2.0
dsgdb9nsd_096872,0.0,0.3
dsgdb9nsd_096872,0.0,0.3
dsgdb9nsd_096872,0.0,0.3
dsgdb9nsd_096872,0.0,0.3
dsgdb9nsd_096872,0.0,0.3
dsgdb9nsd_096872,0.0,0.3
dsgdb9nsd_096872,0.0,0.4
dsgdb9nsd_096872,0.0,0.5
dsgdb9nsd_028531,1.1,0.6
dsgdb9nsd_028531,1.1,1.1
dsgdb9nsd_028531,1.1,0.7
dsgdb9nsd_028531,1.1,0.6
dsgdb9nsd_028531,1.1,0.6
dsgdb9nsd_028531,1.6,1.4
dsgdb9nsd_062484,0.0,1.1
dsgdb9nsd_062484,0.0,1.1
dsgdb9nsd_062484,0.0,1.1
dsgdb9nsd_062484,0.0,1.1
dsgdb9nsd_062484,0.0,1.1
dsgdb9nsd_062484,0.0,1.1
dsgdb9nsd_027382,0.9,1.5
dsgdb9nsd_027382,0.9,1.5
dsgdb9nsd_027382,1.9,1.5
dsgdb9nsd_027382,0.9,0.2
dsgdb9nsd_027382,0.5,1.5
dsgdb9nsd_027382,0.5,1.5
dsgdb9nsd_027382,0.5,1.7
dsgdb9nsd_027382,1.8,1.5
dsgdb9nsd_027382,0.9,1.4
dsgdb9nsd_027382,1.4,1.5
dsgdb9nsd_027382,1.2,1.9
dsgdb9nsd_027382,0.9,0.8
dsgdb9nsd_027382,0.9,0.3
dsgdb9nsd_027382,1.5,1.4
dsgdb9nsd_027382,0.9,1.5
dsgdb9nsd_027382,0.7,0.8
dsgdb9nsd_027382,2.0,1.5
dsgdb9nsd_027382,1.7,1.0
dsgdb9nsd_027382,1.0,1.5
dsgdb9nsd_027382,1.2,1.5
dsgdb9nsd_010858,0.0,1.1
dsgdb9nsd_010858,0.0,0.9
dsgdb9nsd_010858,0.0,1.1
dsgdb9nsd_010858,0.0,1.1
dsgdb9nsd_010858,0.0,1.1
dsgdb9nsd_010858,0.0,1.1
dsgdb9nsd_087693,1.2,1.9
dsgdb9nsd_087693,1.4,0.0
dsgdb9nsd_087693,1.4,1.6
dsgdb9nsd_087693,1.4,1.8
dsgdb9nsd_087693,1.0,1.8
dsgdb9nsd_087693,1.4,1.9
dsgdb9nsd_087693,1.4,1.8
dsgdb9nsd_087693,1.2,1.7
dsgdb9nsd_087693,1.2,0.7
dsgdb9nsd_087693,1.4,1.8
dsgdb9nsd_087693,1.5,1.4
dsgdb9nsd_087693,1.1,1.8
dsgdb9nsd_087693,0.8,1.9
dsgdb9nsd_007630,0.0,1.9
dsgdb9nsd_007630,0.0,1.9
dsgdb9nsd_007414,0.7,0.4
dsgdb9nsd_007414,0.7,0.4
dsgdb9nsd_007414,0.7,1.5
dsgdb9nsd_007414,0.8,0.1
dsgdb9nsd_007414,0.8,1.8
dsgdb9nsd_007414,0.8,2.0
dsgdb9nsd_007414,0.8,1.8
dsgdb9nsd_007414,0.8,1.8
dsgdb9nsd_007414,1.0,1.8
dsgdb9nsd_007414,0.9,1.8
dsgdb9nsd_042694,1.3,0.3
dsgdb9nsd_042694,0.6,0.5
dsgdb9nsd_042694,0.6,0.5
dsgdb9nsd_042694,0.7,0.3
dsgdb9nsd_042694,1.3,0.2
dsgdb9nsd_042694,1.0,0.3
dsgdb9nsd_042694,1.2,1.3
dsgdb9nsd_042694,1.0,0.3
dsgdb9nsd_042694,1.0,0.7
dsgdb9nsd_042694,1.0,0.3
dsgdb9nsd_042694,1.6,1.9
dsgdb9nsd_042694,1.0,0.7
dsgdb9nsd_042694,1.2,1.0
dsgdb9nsd_042694,1.2,1.9
dsgdb9nsd_042694,1.0,0.3
dsgdb9nsd_002825,0.0,1.9
dsgdb9nsd_002825,0.0,1.9
dsgdb9nsd_009238,0.5,0.9
dsgdb9nsd_009238,0.5,0.9
dsgdb9nsd_009238,0.5,0.9
dsgdb9nsd_009238,0.5,0.9
dsgdb9nsd_096852,0.0,0.9
dsgdb9nsd_096852,0.0,0.7
dsgdb9nsd_096852,0.0,0.7
dsgdb9nsd_096852,0.0,0.7
dsgdb9nsd_096852,0.0,0.7
dsgdb9nsd_093867,0.0,1.8
dsgdb9nsd_093867,0.0,1.8
dsgdb9nsd_093867,0.0,1.8
dsgdb9nsd_093867,0.0,1.8
dsgdb9nsd_093867,0.0,1.6
dsgdb9nsd_093867,0.0,1.8
dsgdb9nsd_093867,0.0,1.8
dsgdb9nsd_093867,0.0,1.6
dsgdb9nsd_000514,0.4,1.1
dsgdb9nsd_000514,0.4,0.0
dsgdb9nsd_000514,0.4,0.0
dsgdb9nsd_000514,0.4,0.0
dsgdb9nsd_000514,0.4,0.0
dsgdb9nsd_000514,0.4,0.0
dsgdb9nsd_014884,0.2,1.0
dsgdb9nsd_014884,0.1,0.0
dsgdb9nsd_014884,0.0,0.7
dsgdb9nsd_014884,0.2,0.0
dsgdb9nsd_014884,0.3,0.0
dsgdb9nsd_014884,0.3,1.7
dsgdb9nsd_014884,0.0,1.6
dsgdb9nsd_014884,0.0,1.1
dsgdb9nsd_014884,0.3,1.8
dsgdb9nsd_014884,0.1,1.9
dsgdb9nsd_109494,0.0,1.1
dsgdb9nsd_109494,0.0,1.1
dsgdb9nsd_109494,0.0,1.1
dsgdb9nsd_109494,0.0,0.8
dsgdb9nsd_109494,0.0,0.8
dsgdb9nsd_109494,0.0,0.9
dsgdb9nsd_109494,0.0,0.8
dsgdb9nsd_109494,0.0,0.8
dsgdb9nsd_011018,0.0,1.3
dsgdb9nsd_011018,0.0,1.3
dsgdb9nsd_011018,0.0,1.3
dsgdb9nsd_011018,0.0,1.3
dsgdb9nsd_004621,0.0,1.1
dsgdb9nsd_004621,0.0,1.1
dsgdb9nsd_004621,0.0,1.1
dsgdb9nsd_004621,0.0,1.1
dsgdb9nsd_004621,0.0,0.9
dsgdb9nsd_004621,0.0,1.8
dsgdb9nsd_002684,0.0,1.0
