molecule,beta_rst_converged,br-iters,br-energy,br-s2,reference_converged,reference_nao,candidate_nao,alpha_electrons_reference,alpha_electrons_candidate,beta_electrons_reference,beta_electrons_candidate,alpha_electron_count_error,beta_electron_count_error,occupation_count_match,alpha_fractional_occupations_reference,alpha_fractional_occupations_candidate,beta_fractional_occupations_reference,beta_fractional_occupations_candidate,alpha_subspace_mean_squared_overlap,alpha_subspace_min_squared_overlap,alpha_subspace_rms_sine_angle,beta_subspace_mean_squared_overlap,beta_subspace_min_squared_overlap,beta_subspace_rms_sine_angle,reference_integrated_spin,candidate_integrated_spin,integrated_spin_error,spin_density_cosine_similarity,spin_density_relative_l2_error,spin_density_relative_l1_error,atomic_spin_rmse,atomic_spin_max_abs_error,soscf_energy,soscf_s2,soscf_converged,energy_difference_meh,absolute_energy_difference_meh,spin_square_difference
dsgdb9nsd_000001,True,14,-40.1587093726,0.750387,True,42,43,6.0,6.0,5.0,5.0,0.0,0.0,True,0,0,0,0,0.9999722471491233,0.999836613553458,0.0052680974627266,0.9999993870404968,0.9999978996748397,0.0007829173028836,0.9999205147619687,0.999919891667398,-6.230945707175195e-07,0.999983444721445,0.0057549421894425,0.0020694547447085,0.0019017067453694,0.0025748300631165,-40.15866833630834,0.7503888014661442,True,-0.04103629166252176,0.04103629166252176,-1.8014661441467794e-06
dsgdb9nsd_000002,True,12,-56.1583647345,0.750714,True,36,37,6.0,6.0,5.0,5.0,0.0,0.0,True,0,0,0,0,0.9999871341761528,0.9999299596110702,0.0035868961299456,0.9999983328990888,0.9999940175802232,0.001291162619961,0.9999764068881964,0.9999757618133474,-6.450748490927083e-07,0.999925322148496,0.0127051893487366,0.0061965166105274,0.0025926568014962,0.0040961311017437,-56.15816128938974,0.7507152223588376,True,-0.2034451102588264,0.2034451102588264,-1.2223588375936956e-06
dsgdb9nsd_000003,True,12,-75.9896187021,0.750558,True,30,31,6.0,6.0,5.0,5.0,0.0,0.0,True,0,0,0,0,0.9999785257491688,0.9998764346070338,0.0046340318116412,0.999997443852228,0.9999878374886888,0.0015987957255118,0.9999894721720944,0.9999889656976592,-5.064744351690464e-07,0.9997197753826348,0.0256394355741604,0.0147796403231572,0.0061403433028104,0.0079528281884025,-75.98912808234563,0.7505698644198358,True,-0.490619754373256,0.490619754373256,-1.1864419835805329e-05
dsgdb9nsd_000007,True,18,-79.1776151287,0.750265,True,72,74,10.0,10.0,9.0,9.0,0.0,0.0,True,0,0,0,0,0.8999787557697555,3.54595965403848e-07,0.3162613543103939,0.9999852235273096,0.9999426216002908,0.0038440177796514,0.9999854775363648,0.9998940897577816,-9.13877785829742e-05,0.5744827302073926,0.9335855974967046,0.912564329392174,0.1865334743229534,0.3252490313638391,-79.19282007719445,0.7503165585603355,True,15.204948494456971,15.204948494456971,-5.155856033556283e-05
dsgdb9nsd_000008,True,14,-115.0119301707,0.750234,True,60,62,10.0,10.0,9.0,9.0,0.0,0.0,True,0,0,0,0,0.9999881705060714,0.9999088802022555,0.0034394031355156,0.9999969300939706,0.99998423248076,0.0017521147306216,0.9999590111048444,0.9999582893727776,-7.217320666663696e-07,0.9999666010309388,0.0082951215898883,0.0048308503478518,0.003502643313374,0.0062639406492848,-115.01157646065317,0.7502334994293882,True,-0.3537100468236076,0.3537100468236076,5.005706117389153e-07
dsgdb9nsd_000011,True,357,-152.8414260742,0.760557,True,78,81,13.0,13.0,12.0,12.0,0.0,0.0,True,0,0,0,0,0.9999838391289512,0.9998221934560788,0.0040200585877499,0.9999975769512928,0.9999866842132604,0.0015566145017677,0.9999919322198292,0.9999920038324588,7.161262938204517e-08,0.999978833840374,0.00651089009539,0.0101496412041648,0.0010598218732597,0.0025393792258201,-152.84168757398356,0.7646722437377136,True,0.261499783562158,0.261499783562158,-0.004115243737713548
dsgdb9nsd_000013,True,21,-118.2168566857,0.750133,True,102,105,14.0,14.0,13.0,13.0,0.0,0.0,True,0,0,0,0,0.9285412338991168,2.322674730742422e-06,0.2673177250031938,0.9999819577257208,0.9999313870229216,0.0042476198369623,0.9999342529144382,0.9999413761804996,7.123266061448419e-06,0.7051063448763379,0.8261609417423871,0.7373447253972123,0.4455042824010342,0.8795861139068408,-118.23077140051146,0.7502888488725539,True,13.914714811463114,13.914714811463114,-0.00015584887255382096
dsgdb9nsd_000014,True,15,-154.054586498,0.750241,True,90,93,14.0,14.0,13.0,13.0,0.0,0.0,True,0,0,0,0,0.9999900196584428,0.9999151580015146,0.0031591678583411,0.9999956891219476,0.999977726154394,0.0020762654099329,0.9999726168850366,0.9999722543074624,-3.625775741866733e-07,0.99996015378001,0.0096453230049012,0.0072610217555258,0.0086424666635407,0.0170808070154557,-154.05421308328394,0.7502423465034358,True,-0.3734147160514567,0.3734147160514567,-1.3465034357507122e-06
dsgdb9nsd_000017,True,17,-152.8205652489,0.750208,True,78,81,13.0,13.0,12.0,12.0,0.0,0.0,True,0,0,0,0,0.923058056779755,1.5740502849650066e-08,0.2773841077283356,0.9999823186885086,0.9999272952740847,0.004204915158639,0.9999620947436164,0.9999330900131126,-2.9004730503712217e-05,0.6814009344142036,0.8095058880752402,0.8203604257645506,0.1291024996810479,0.1840979185152137,-152.83397714928034,0.7502395266853448,True,13.411900380333464,13.411900380333464,-3.1526685344784866e-05
dsgdb9nsd_000020,True,43,-223.977040366,0.750235,True,96,100,17.0,17.0,16.0,16.0,0.0,0.0,True,0,0,0,0,0.999992423645194,0.9999196975823068,0.002752517902922,0.9999969555893324,0.9999859116978732,0.0017448239646206,0.9999623180553198,0.9999621936467556,-1.2440856411721768e-07,0.9999731793605652,0.0073328546346941,0.0029603505712085,0.0037109652803262,0.0081693957317769,-223.9764139761392,0.7502362259089033,True,-0.6263898607983265,0.6263898607983265,-1.22590890327956e-06
dsgdb9nsd_000022,True,15,-193.0972239204,0.750289,True,120,124,18.0,18.0,17.0,17.0,0.0,0.0,True,0,0,0,0,0.9998570878549686,0.9975376739054376,0.0119545867779482,0.9999923682238202,0.9999553131458172,0.0027625669548088,0.9999504193460262,0.9999532980136135,2.87866758741373e-06,0.9981983242627962,0.0669055668550196,0.0694583079024495,0.3195495416616981,0.8860136394070528,-193.09705421779012,0.7502904720608328,True,-0.16970260989523922,0.16970260989523922,-1.4720608327856155e-06
dsgdb9nsd_000023,True,408,-152.4370350937,0.778241,True,84,88,14.0,14.0,13.0,13.0,0.0,0.0,True,0,0,0,0,0.9946155742102298,0.9267393484698278,0.0733786466880543,0.9999796595270384,0.9998108358932074,0.0045100413481093,0.9999944653732528,0.999993782109349,-6.832639039000554e-07,0.9614136226278038,0.2775563737294572,0.304184424288953,0.0830413048904896,0.1075362181382894,-152.4376939305924,0.7783868095857933,True,0.6588368923985399,0.6588368923985399,-0.000145809585793355
dsgdb9nsd_000025,True,13,-184.5766933985,0.807936,True,72,76,14.0,14.0,13.0,13.0,0.0,0.0,True,0,0,0,0,0.9924591226886332,0.8987693452614489,0.0868382249436658,0.9999766087685245,0.9999429349551304,0.004836448229405,0.9999995812514714,0.9999987376768612,-8.43574610054354e-07,0.9526275740943484,0.3077522321675593,0.3489481844155153,0.0017343852795521,0.0017630711092112,-184.57596125168567,0.8081676567464626,True,-0.7321468143288712,0.7321468143288712,-0.00023165674646263845
dsgdb9nsd_000027,True,18,-205.6031443903,0.811595,True,78,82,15.0,15.0,14.0,14.0,0.0,0.0,True,0,0,0,0,0.9999952084338806,0.9999761798850776,0.0021889646226934,0.9999951314059232,0.9999751543679372,0.0022064890837157,0.9999997822884156,0.9999996099569516,-1.723314642099183e-07,0.9999890797441028,0.0046740278602081,0.0025981018523487,0.0399127682759472,0.0634696189597213,-205.60244949866393,0.811713077286667,True,-0.6948916360727253,0.6948916360727253,-0.00011807728666701767
dsgdb9nsd_000038,True,291,-227.7424006724,0.750605,True,96,100,17.0,17.0,16.0,16.0,0.0,0.0,True,0,0,0,0,0.9518268556444552,0.1954160950920141,0.2194838134249192,0.9984241856659783,0.992200304125676,0.0396965279844683,1.000010417675434,1.0000401909351275,2.9773259693666176e-05,0.2406787074943371,5.105371323151224,1.6897780729142446,0.7553995456860353,1.2270399322958403,-227.74174104739177,0.7506145946291021,True,-0.6596250082395727,0.6596250082395727,-9.594629102105401e-06
dsgdb9nsd_000039,True,19,-157.2581189713,0.750182,True,132,136,18.0,18.0,17.0,17.0,0.0,0.0,True,0,0,0,0,0.9444182314803192,2.136160122836179e-07,0.2357578599319242,0.999975169118736,0.999886108558196,0.0049830594281192,0.9999085155516854,0.9999611435111572,5.262795947191812e-05,0.7084015480559982,0.8430161369125158,0.7235239222753445,0.4314477941755709,0.7244093611522675,-157.2680292760227,0.7502280273255124,True,9.910304722694718,9.910304722694718,-4.6027325512398853e-05
dsgdb9nsd_000042,True,16,-228.9083589986,0.750265,True,108,112,18.0,18.0,17.0,17.0,0.0,0.0,True,0,0,0,0,0.9999764720738078,0.999707705713599,0.0048505593689976,0.999992231538528,0.999951043559337,0.0027871959873909,0.9999913057827556,0.9999912079673432,-9.781541232545268e-08,0.9997471167316916,0.0260207294369208,0.0266818026023164,0.0182174996592149,0.0367782734031669,-228.90768374616954,0.7502647426425497,True,-0.6752524304545204,0.6752524304545204,2.5735745023958145e-07
