molecule,converged_x,iterations_x,Energy_x,s2_x,converged_y,iterations_y,Energy_y,s2_y
dsgdb9nsd_000129,True,116,-246.9865396467,0.750168,True,321,-246.9090671666,0.75267
dsgdb9nsd_032575,True,38,-396.9260833215,0.750193,True,37,-396.9260836922,0.750182
dsgdb9nsd_000074,True,164,-246.9574023983,0.750115,True,238,-246.942629799,0.750218
dsgdb9nsd_045845,True,46,-435.4634648911,0.75054,True,35,-435.4284173916,0.761876
dsgdb9nsd_066722,True,106,-347.605151963,0.75012,True,36,-347.605155837,0.750115
dsgdb9nsd_001787,True,57,-344.8043167541,0.750147,True,69,-344.8043388389,0.750145
dsgdb9nsd_000658,True,39,-234.1710674495,0.750088,True,31,-234.1710591574,0.750088
dsgdb9nsd_005654,True,183,-339.5379460826,0.751184,True,89,-339.4687721245,0.812209
dsgdb9nsd_063248,True,85,-348.9073755235,0.750291,True,196,-348.9073724545,0.750612
dsgdb9nsd_004563,True,238,-308.7468708782,0.750119,True,122,-308.7122693974,0.788863
dsgdb9nsd_000477,True,352,-341.5896612665,0.750231,True,68,-341.5896616534,0.750231
dsgdb9nsd_000463,False,2113,-284.8133750647,0.750152,True,598,-284.7483608157,0.767123
dsgdb9nsd_123318,True,801,-392.0955221915,0.949282,True,824,-392.0955240667,0.949427
dsgdb9nsd_084372,True,194,-457.5561012783,0.753456,True,119,-457.5560903075,0.754081
dsgdb9nsd_000066,True,100,-229.7275940468,0.750674,True,142,-229.6867696432,0.750244
dsgdb9nsd_000700,True,60,-303.2925299919,0.750184,True,69,-303.2925085377,0.750191
dsgdb9nsd_111221,True,121,-421.6649821057,0.750176,True,41,-421.6649771443,0.750175
dsgdb9nsd_000460,True,182,-284.8204807756,0.750207,True,603,-284.7504054132,0.767512
dsgdb9nsd_020997,True,92,-377.7173140027,0.750153,True,45,-377.6829393077,0.750591
dsgdb9nsd_000070,True,46,-246.9748625468,0.750281,True,77,-246.946122699,0.750583
dsgdb9nsd_001347,False,2111,-323.7913913963,0.760009,True,355,-323.822283638,0.750157
dsgdb9nsd_000105,True,33,-193.8640744047,0.750167,True,33,-193.8640736713,0.750168
dsgdb9nsd_002946,True,381,-344.8521270928,0.750211,True,191,-344.8521252026,0.75021
dsgdb9nsd_010577,True,48,-323.3860143715,0.750455,True,51,-323.375972821,0.750548
dsgdb9nsd_000214,True,213,-230.6331431363,0.815632,True,35,-230.6331431111,0.815647
dsgdb9nsd_000200,False,2164,-299.6602287447,0.750273,True,729,-299.6701215884,0.750216
dsgdb9nsd_027872,False,2111,-347.7630426239,1.118157,True,236,-347.7630142266,1.119464
dsgdb9nsd_001335,True,136,-344.8032563658,0.750131,True,156,-344.8032508021,0.750129
dsgdb9nsd_011091,True,44,-339.5325390832,0.753344,True,41,-339.5325402672,0.753303
