molecule,intervention_applied,standard_converged_no_intervention,standard_iterations_no_intervention,standard_wall_clock_seconds,standard_wall_clock_source,standard_energy,standard_spin_square,standard_raw_output,ml_guided_converged_with_intervention,ml_guided_iterations_with_intervention,ml_guided_wall_clock_seconds,ml_guided_wall_clock_source,ml_guided_energy,ml_guided_spin_square,ml_guided_raw_output,outcome_vs_no_intervention,harmed_by_intervention,rescued_by_intervention,delta_iterations_ml_minus_standard,relative_iteration_change_percent,delta_wall_clock_seconds_ml_minus_standard,relative_wall_clock_change_percent,false_positive_iteration_cost,false_positive_wall_clock_cost_seconds,ml_restart_triggered,ml_restart_count,ml_max_beta_shift,ml_disabled_after_max_restarts,ml_disabled_after_restart_count
dsgdb9nsd_000129,True,True,321,27.15,total_processing_time_footer,-246.9090671666,0.75267,/Users/leodong/Downloads/Research/test_molecules/QM9_Data/dsgdb9nsd_000129.txt,True,116,7.21,total_processing_time_footer,-246.9865396467,0.750168,/Users/leodong/Downloads/Research/test_molecules/final_eval_medium_beta_restart_raw/mol_dsgdb9nsd_000129.txt,accelerated_standard_success,False,False,-205,-63.86,-19.94,-73.44,0,0.0,True,7,0.7,False,
dsgdb9nsd_032575,True,True,37,7.82,total_processing_time_footer,-396.9260836922,0.750182,/Users/leodong/Downloads/Research/test_molecules/QM9_Data/dsgdb9nsd_032575.txt,True,38,7.42,total_processing_time_footer,-396.9260833215,0.750193,/Users/leodong/Downloads/Research/test_molecules/final_eval_medium_beta_restart_raw/mol_dsgdb9nsd_032575.txt,slower_than_standard_success,False,False,1,2.7,-0.4,-5.12,1,0.0,False,0,0.0,False,
dsgdb9nsd_000074,True,True,238,18.83,total_processing_time_footer,-246.942629799,0.750218,/Users/leodong/Downloads/Research/test_molecules/QM9_Data/dsgdb9nsd_000074.txt,True,164,10.65,total_processing_time_footer,-246.9574023983,0.750115,/Users/leodong/Downloads/Research/test_molecules/final_eval_medium_beta_restart_raw/mol_dsgdb9nsd_000074.txt,accelerated_standard_success,False,False,-74,-31.09,-8.18,-43.44,0,0.0,True,10,1.0,True,10
dsgdb9nsd_045845,True,True,35,6.01,total_processing_time_footer,-435.4284173916,0.761876,/Users/leodong/Downloads/Research/test_molecules/QM9_Data/dsgdb9nsd_045845.txt,True,46,5.8,total_processing_time_footer,-435.4634648911,0.75054,/Users/leodong/Downloads/Research/test_molecules/final_eval_medium_beta_restart_raw/mol_dsgdb9nsd_045845.txt,slower_than_standard_success,False,False,11,31.43,-0.21,-3.49,11,0.0,True,2,0.2,False,
dsgdb9nsd_066722,True,True,36,7.79,total_processing_time_footer,-347.605155837,0.750115,/Users/leodong/Downloads/Research/test_molecules/QM9_Data/dsgdb9nsd_066722.txt,True,106,12.86,total_processing_time_footer,-347.605151963,0.75012,/Users/leodong/Downloads/Research/test_molecules/final_eval_medium_beta_restart_raw/mol_dsgdb9nsd_066722.txt,slower_than_standard_success,False,False,70,194.44,5.07,65.08,70,5.07,True,1,0.1,False,
dsgdb9nsd_001787,True,True,69,11.47,total_processing_time_footer,-344.8043388389,0.750145,/Users/leodong/Downloads/Research/test_molecules/QM9_Data/dsgdb9nsd_001787.txt,True,57,7.85,total_processing_time_footer,-344.8043167541,0.750147,/Users/leodong/Downloads/Research/test_molecules/final_eval_medium_beta_restart_raw/mol_dsgdb9nsd_001787.txt,accelerated_standard_success,False,False,-12,-17.39,-3.62,-31.56,0,0.0,False,0,0.0,False,
dsgdb9nsd_000658,True,True,31,4.98,total_processing_time_footer,-234.1710591574,0.750088,/Users/leodong/Downloads/Research/test_molecules/QM9_Data/dsgdb9nsd_000658.txt,True,39,6.63,total_processing_time_footer,-234.1710674495,0.750088,/Users/leodong/Downloads/Research/test_molecules/final_eval_medium_beta_restart_raw/mol_dsgdb9nsd_000658.txt,slower_than_standard_success,False,False,8,25.81,1.65,33.13,8,1.65,False,0,0.0,False,
dsgdb9nsd_005654,True,True,89,13.92,total_processing_time_footer,-339.4687721245,0.812209,/Users/leodong/Downloads/Research/test_molecules/QM9_Data/dsgdb9nsd_005654.txt,True,183,17.77,total_processing_time_footer,-339.5379460826,0.751184,/Users/leodong/Downloads/Research/test_molecules/final_eval_medium_beta_restart_raw/mol_dsgdb9nsd_005654.txt,slower_than_standard_success,False,False,94,105.62,3.85,27.66,94,3.85,True,10,1.0,True,10
dsgdb9nsd_063248,True,True,196,48.08,total_processing_time_footer,-348.9073724545,0.750612,/Users/leodong/Downloads/Research/test_molecules/QM9_Data/dsgdb9nsd_063248.txt,True,85,12.49,total_processing_time_footer,-348.9073755235,0.750291,/Users/leodong/Downloads/Research/test_molecules/final_eval_medium_beta_restart_raw/mol_dsgdb9nsd_063248.txt,accelerated_standard_success,False,False,-111,-56.63,-35.59,-74.02,0,0.0,True,4,0.4,False,
dsgdb9nsd_004563,True,True,122,20.14,total_processing_time_footer,-308.7122693974,0.788863,/Users/leodong/Downloads/Research/test_molecules/QM9_Data/dsgdb9nsd_004563.txt,True,238,24.02,total_processing_time_footer,-308.7468708782,0.750119,/Users/leodong/Downloads/Research/test_molecules/final_eval_medium_beta_restart_raw/mol_dsgdb9nsd_004563.txt,slower_than_standard_success,False,False,116,95.08,3.88,19.27,116,3.88,True,10,1.0,True,10
dsgdb9nsd_000477,True,True,68,7.63,total_processing_time_footer,-341.5896616534,0.750231,/Users/leodong/Downloads/Research/test_molecules/QM9_Data/dsgdb9nsd_000477.txt,True,352,21.25,total_processing_time_footer,-341.5896612665,0.750231,/Users/leodong/Downloads/Research/test_molecules/final_eval_medium_beta_restart_raw/mol_dsgdb9nsd_000477.txt,slower_than_standard_success,False,False,284,417.65,13.62,178.51,284,13.62,True,10,1.0,True,10
dsgdb9nsd_000463,True,True,598,63.49,total_processing_time_footer,-284.7483608157,0.767123,/Users/leodong/Downloads/Research/test_molecules/QM9_Data/dsgdb9nsd_000463.txt,False,2113,145.0,job_start_to_termination_timestamp,-284.8133750647,0.750152,/Users/leodong/Downloads/Research/test_molecules/final_eval_medium_beta_restart_raw/mol_dsgdb9nsd_000463.txt,harmed_standard_success,True,False,1515,253.34,81.51,128.38,1515,81.51,True,10,1.0,True,10
dsgdb9nsd_123318,True,True,824,134.54,total_processing_time_footer,-392.0955240667,0.949427,/Users/leodong/Downloads/Research/test_molecules/QM9_Data/dsgdb9nsd_123318.txt,True,801,80.88,total_processing_time_footer,-392.0955221915,0.949282,/Users/leodong/Downloads/Research/test_molecules/final_eval_medium_beta_restart_raw/mol_dsgdb9nsd_123318.txt,accelerated_standard_success,False,False,-23,-2.79,-53.66,-39.88,0,0.0,False,0,0.0,False,
